student_id,workspace_id,section_id,student_no,name,email
ada7609e-b3c3-4ff1-9584-eb4f77148c85,b57e139d-c30e-451a-b086-ee896ed16283,02d80308-ac2e-4bc3-a820-a95fca65187e,,yyy,soso@gmail.com
21298f5d-126f-41e9-b8a7-66a325bb7d4d,b57e139d-c30e-451a-b086-ee896ed16283,02d80308-ac2e-4bc3-a820-a95fca65187e,,hhh,o@gmail.com
18e60bbb-9a18-407a-8787-1739a668eb62,b57e139d-c30e-451a-b086-ee896ed16283,02d80308-ac2e-4bc3-a820-a95fca65187e,,hhh,me@gmail.com
0cb45428-78b9-41f8-9b5d-77d6ae2381ea,b57e139d-c30e-451a-b086-ee896ed16283,02d80308-ac2e-4bc3-a820-a95fca65187e,,gg,mi@gmail.com
13c719ca-c3f6-4b05-a3f0-a29d4695f845,b57e139d-c30e-451a-b086-ee896ed16283,02d80308-ac2e-4bc3-a820-a95fca65187e,,ff,ahmed@gmail.com
15d46847-ec90-4e77-8a79-05a22f8d1e08,b57e139d-c30e-451a-b086-ee896ed16283,02d80308-ac2e-4bc3-a820-a95fca65187e,,ss,no@gmail.com
afe7b832-97fb-4490-8352-82d263adc982,b57e139d-c30e-451a-b086-ee896ed16283,02d80308-ac2e-4bc3-a820-a95fca65187e,,gg,lo@gmail.com
9494ed78-3b32-4ca2-93a0-1d9dbbba4b38,b57e139d-c30e-451a-b086-ee896ed16283,02d80308-ac2e-4bc3-a820-a95fca65187e,,ds,ko@gmail.com
01239c85-2942-4d1e-8947-451e8b8c2c8d,b57e139d-c30e-451a-b086-ee896ed16283,02d80308-ac2e-4bc3-a820-a95fca65187e,,a,zo@gmail.com
1167ef00-a9de-459e-9619-74526269d7eb,b57e139d-c30e-451a-b086-ee896ed16283,02d80308-ac2e-4bc3-a820-a95fca65187e,,dg,ki@gmail.com
6be7b51d-6307-426f-bc95-7116069324e5,b57e139d-c30e-451a-b086-ee896ed16283,02d80308-ac2e-4bc3-a820-a95fca65187e,,hj,merna@gmail.com
